"Longitud" "Latitud" "Maximo"
-70.99330 -33.00530 75.00000
-70.90810 -33.01940 13.00000
-71.58330 -33.05030 60.60000
-71.10000 -33.05060 65.00000
-70.76860 -33.07580 24.90000
-71.61690 -33.08190 107.00000
-70.80170 -33.08560 33.20000
-71.21440 -33.09860 76.00000
-71.55530 -33.14500 111.50000
-71.34280 -33.15420 101.50000
-71.14670 -33.16860 126.50000
-70.11220 -33.18690 47.00000
-70.27360 -33.22140 32.90000
-71.29140 -33.28970 72.00000
-70.35720 -33.30860 88.00000
-70.45610 -33.32560 41.50000
-71.41310 -33.32780 77.70000
-70.36360 -33.34140 59.60000
-70.36360 -33.34140 58.30000
-70.45080 -33.37030 69.80000
-70.39610 -33.37330 63.40000
-70.53670 -33.39500 74.00000
-70.51420 -33.43310 55.50000
-71.02560 -33.43860 37.00000
-71.62390 -33.43890 64.60000
-71.45060 -33.43940 67.20000
-70.64440 -33.44860 49.00000
-71.28110 -33.47970 51.50000
-70.13670 -33.48780 57.70000
-70.13420 -33.49000 31.50000
-70.81670 -33.49610 31.90000
-70.51640 -33.49640 76.00000
-70.51440 -33.50170 50.90000
-70.26170 -33.53110 68.60000
-70.81670 -33.55030 33.50000
-71.10610 -33.56970 52.80000
-71.62500 -33.57470 62.40000
-70.48530 -33.59140 101.60000
-70.37920 -33.59390 51.60000
-71.51060 -33.63440 53.30000
-70.35310 -33.63610 53.80000
-71.33720 -33.66140 113.40000
-70.58690 -33.67360 67.40000
-70.08860 -33.67670 61.80000
-71.19970 -33.68030 40.00000
-70.92360 -33.69580 48.20000
-71.55500 -33.72190 67.00000
-70.30080 -33.73470 72.10000
-71.15140 -33.75970 54.00000
-70.23940 -33.78250 87.40000
-70.87830 -33.80440 36.10000
-70.07000 -33.80530 151.90000
-70.20890 -33.80560 84.20000
-70.88360 -33.81110 49.50000
-71.66310 -33.86220 53.00000
-70.87750 -33.88580 114.00000
-71.24080 -33.89080 68.00000
-71.73360 -33.94580 52.00000
-71.09440 -34.03500 72.00000
-71.18860 -34.08330 66.70000
-71.72580 -34.12060 60.00000
-70.84360 -34.18420 34.60000
-70.75080 -34.19080 67.50000
-71.27640 -34.20330 61.50000
-70.55060 -34.24030 101.60000
-70.32810 -34.24670 113.70000
-71.37170 -34.27310 34.80000
-71.40580 -34.28720 57.00000
-71.08000 -34.28750 60.50000
-70.37640 -34.34640 250.80000
-70.30560 -34.36280 124.30000
-72.00440 -34.38440 185.80000
-70.21000 -34.40780 86.80000
-70.86670 -34.42170 68.50000
-70.77940 -34.43690 80.00000
-70.70280 -34.49220 64.10000
-71.21220 -34.52640 57.00000
-70.50970 -34.56060 26.40000
-71.76530 -34.57420 131.00000
-70.96860 -34.59830 82.00000
-70.87390 -34.68670 73.40000
-70.82670 -34.71860 87.80000
-70.35920 -34.71970 97.60000
-70.75190 -34.74280 149.00000
-72.06500 -34.76750 807.90000
-71.13310 -34.76940 108.50000
-71.41420 -34.78080 71.70000
-71.62890 -34.80560 135.00000
-71.74860 -34.86610 114.00000
-71.03530 -34.91140 164.50000
-71.58560 -34.95140 118.20000
-70.91780 -34.96330 214.50000
-71.23610 -34.98110 94.80000
-72.01000 -34.98440 91.00000
-70.82060 -34.99610 206.50000
-70.81190 -35.00080 211.90000
-71.29060 -35.04220 110.50000
-71.61390 -35.09690 109.20000
-70.97470 -35.12420 179.00000
-71.09780 -35.18330 154.50000
-72.28330 -35.21830 109.00000
-71.98000 -35.24390 75.80000
-71.32390 -35.25780 92.00000
-71.01560 -35.27440 185.70000
-71.52330 -35.30640 101.70000
-71.09830 -35.31310 166.70000
-72.40890 -35.32420 80.60000
-71.83250 -35.37250 86.20000
-72.20830 -35.40690 99.10000
-71.04310 -35.41890 182.60000
-71.61970 -35.43580 83.60000
-71.73330 -35.45250 63.10000
-71.29310 -35.48640 143.00000
-71.31830 -35.49250 146.40000
-72.09140 -35.53890 88.00000
-71.08690 -35.59310 312.50000
-71.65720 -35.59500 92.50000
-71.76780 -35.61690 72.10000
-71.40220 -35.62420 129.80000
-71.26060 -35.63810 235.50000
-71.94610 -35.66140 77.70000
-71.06830 -35.69890 224.70000
-71.07720 -35.70110 332.50000
-71.11390 -35.70610 356.90000
-70.77780 -35.73810 124.00000
-72.18690 -35.78250 61.80000
-71.76640 -35.78560 74.00000
-70.76060 -35.81970 139.10000
-71.59530 -35.83810 99.80000
-71.11720 -35.86720 263.00000
-71.01920 -35.88420 169.50000
-72.37360 -35.89670 95.70000
-71.29810 -35.90860 184.90000
-71.29580 -35.91060 201.00000
-71.68420 -35.94780 99.50000
-71.91220 -35.98440 130.00000
-72.08920 -36.05720 112.30000
-71.39080 -36.07580 170.50000
-71.61560 -36.11280 115.60000
-72.42140 -36.11280 96.00000
-71.82830 -36.18780 156.30000
-71.45690 -36.23030 146.60000
-72.34280 -36.23530 83.30000
-71.54810 -36.25580 162.30000
-71.41420 -36.28500 260.00000
-71.40830 -36.29720 281.60000
-72.04000 -36.31830 115.00000
-71.64940 -36.35810 173.00000
-71.62330 -36.37580 142.20000
-72.39440 -36.42140 95.40000
-72.69110 -36.46690 85.00000
-72.68830 -36.47500 98.00000
-72.42830 -36.52750 79.00000
-72.93110 -36.54560 126.70000
-71.52470 -36.58360 252.00000
-71.52560 -36.58560 254.60000
-72.10030 -36.59670 101.20000
-72.12670 -36.63190 103.90000
-72.84890 -36.63640 193.40000
-72.95030 -36.63940 108.70000
-71.79890 -36.64080 176.90000
-71.39500 -36.65110 287.00000
-72.45610 -36.65440 90.00000
-71.29890 -36.67310 295.00000
-72.57940 -36.70780 102.50000
-72.42390 -36.76220 116.50000
-72.89220 -36.79250 132.00000
-71.66080 -36.80000 291.50000
-72.93920 -36.81310 124.00000
-71.89440 -36.81890 158.70000
-73.01640 -36.82030 108.20000
-73.10000 -36.83330 104.20000
-73.06190 -36.83860 105.20000
-71.64250 -36.86860 296.10000
-71.47920 -36.91080 218.00000
-71.58140 -36.91750 298.00000
-71.57560 -36.92440 257.00000
-72.10080 -36.97640 166.00000
-72.94140 -36.98250 88.50000
-71.76500 -37.11140 254.00000
-72.06690 -37.15280 240.10000
-72.32420 -37.21190 97.00000
-73.24310 -37.25530 184.00000
-72.71640 -37.27720 145.50000
-71.82280 -37.28060 238.30000
-71.98360 -37.28360 145.60000
-71.95190 -37.29360 233.10000
-72.36610 -37.38060 109.40000
-72.32720 -37.45610 96.70000
-73.33690 -37.48330 166.90000
-73.33170 -37.48500 172.50000
-73.34420 -37.48780 181.00000
-72.40830 -37.50220 122.40000
-71.76560 -37.50810 271.40000
-72.31190 -37.54220 135.80000
-72.59030 -37.55030 88.60000
-72.27690 -37.59530 110.00000
-72.27830 -37.60190 118.00000
-71.71360 -37.65110 323.60000
-72.00580 -37.68500 161.00000
-71.76830 -37.70470 190.80000
-71.82360 -37.70920 218.60000
-71.90170 -37.71060 190.80000
-72.24360 -37.71470 138.90000
-72.63720 -37.77940 98.10000
-71.86640 -37.77970 244.00000
-71.69890 -37.79640 273.20000
-73.39140 -37.79830 143.50000
-73.39220 -37.81310 140.20000
-72.96060 -37.82330 159.60000
-72.21970 -37.83060 170.10000
-72.39420 -37.86360 166.50000
-71.98670 -37.88000 281.00000
-71.59610 -37.91830 408.50000
-72.43610 -37.96470 138.00000
-73.23000 -38.01860 130.90000
-73.00670 -38.02140 91.90000
-73.01670 -38.03330 104.40000
-72.46110 -38.04420 148.00000
-71.43440 -38.05830 317.10000
-72.11360 -38.10530 248.50000
-72.90390 -38.16360 109.50000
-71.29890 -38.20080 216.70000
-71.81060 -38.21560 381.60000
-72.22890 -38.24610 167.00000
-72.65360 -38.25610 101.30000
-73.49220 -38.34330 420.60000
-72.77720 -38.41330 103.00000
-72.37750 -38.42110 142.50000
-72.01060 -38.42500 200.50000
-72.01060 -38.43030 233.00000
-71.89610 -38.44750 203.50000
-71.37420 -38.45360 184.80000
-72.38670 -38.46420 134.00000
-71.57530 -38.47030 286.00000
-73.24080 -38.49420 173.50000
-72.45220 -38.51860 119.40000
-72.84780 -38.60810 96.90000
-71.09190 -38.65170 97.00000
-72.23390 -38.66720 191.50000
-72.00000 -38.68390 301.00000
-72.50280 -38.68670 143.30000
-72.55580 -38.71280 117.70000
-73.14750 -38.71280 116.00000
-72.59000 -38.74250 95.40000
-72.94690 -38.78000 184.80000
-73.39360 -38.78860 188.60000
-71.65360 -38.84440 244.20000
-71.55000 -38.85060 288.50000
-72.01250 -38.92690 166.00000
-72.20060 -38.95860 283.00000
-72.60830 -38.95920 193.00000
-72.23330 -38.98330 207.30000
-72.06670 -39.00060 233.90000
-73.08280 -39.01440 225.10000
-73.07810 -39.02780 256.20000
-72.08330 -39.03330 271.00000
-72.38330 -39.10000 157.50000
-72.65030 -39.15060 283.00000
-71.72310 -39.16670 353.20000
-71.80890 -39.20000 356.00000
-73.20030 -39.20060 258.00000
-72.29170 -39.21500 293.50000
-71.95030 -39.27530 300.20000
-71.80830 -39.33140 350.00000
-71.57440 -39.35810 323.50000
-72.64170 -39.37000 250.00000
-72.16530 -39.46810 310.50000
-72.69080 -39.47810 215.30000
-72.23390 -39.48750 344.00000
-71.54780 -39.51920 460.00000
-72.15190 -39.54690 284.90000
-72.89890 -39.55220 277.70000
-72.00530 -39.57440 416.30000
-72.74220 -39.70780 214.20000
-71.85060 -39.72720 412.40000
-72.45810 -39.77310 376.00000
-72.90250 -39.80440 308.50000
-73.25170 -39.81030 189.60000
-73.17860 -39.85610 272.20000
-71.88890 -39.87190 638.50000
-71.88970 -39.87470 544.10000
-71.72190 -40.02250 412.50000
-72.61690 -40.06720 345.90000
-72.25280 -40.15920 305.60000
-73.16890 -40.16580 275.90000
-73.43110 -40.19330 725.40000
-72.14920 -40.21720 534.70000
-72.26670 -40.25000 178.60000
-73.08330 -40.26670 141.40000
-73.43330 -40.31420 331.30000
-72.46920 -40.31720 403.10000
-73.00220 -40.38420 157.20000
-73.10690 -40.58830 174.80000
-72.18440 -40.65530 421.80000
-73.22780 -40.71360 196.90000
-72.44000 -40.72310 216.10000
-72.68390 -40.77330 312.20000
-72.68890 -40.78890 288.20000
-73.21440 -40.79560 101.60000
-73.13720 -40.93670 189.50000
-72.63280 -41.07810 237.60000
-73.06110 -41.12670 237.00000
-73.41110 -41.15330 215.50000
-72.59580 -41.41720 396.50000
-71.93860 -41.42420 397.00000
-72.57640 -41.42970 338.40000
-72.93780 -41.46000 272.30000
-73.60000 -41.61530 234.00000
-72.16940 -41.63890 454.00000
-72.31170 -41.65110 480.40000
-73.81920 -41.86250 261.50000
-73.79640 -41.87920 316.20000
-72.43500 -41.93830 571.00000
-73.97420 -42.04640 320.70000
-73.47310 -42.14080 297.90000
-73.77420 -42.47940 157.00000
-74.10810 -42.61860 323.50000
-73.77280 -42.62280 188.00000
-73.61190 -43.10860 243.40000
-72.43080 -43.17500 609.80000
-71.93060 -43.21580 303.50000
-72.36580 -43.41280 362.80000
-72.10750 -43.44920 382.20000
-72.35360 -43.46830 533.30000
-71.78390 -43.61750 174.40000
-72.95470 -43.77170 418.80000
-72.40560 -43.97080 316.50000
-72.31610 -44.04830 273.00000
-71.84610 -44.23940 221.80000
-72.55970 -44.32280 471.40000
-71.30640 -44.49750 96.80000
-72.26610 -44.66530 373.60000
-72.68140 -44.72780 304.90000
-73.51640 -45.15530 319.60000
-72.14780 -45.17330 232.80000
-71.52920 -45.26690 93.60000
-71.70920 -45.27060 99.40000
-71.98220 -45.37190 153.00000
-72.48780 -45.40360 323.80000
-72.62310 -45.40580 265.90000
-72.81780 -45.46440 502.60000
-71.60440 -45.48030 71.20000
-72.05890 -45.55110 141.70000
-72.06810 -45.55170 137.50000
-72.02860 -45.57390 121.50000
-71.72110 -45.88530 210.20000
-72.15390 -46.12060 90.80000
-71.99080 -46.26920 378.70000
-72.66860 -46.46190 158.30000
-72.22670 -46.54250 52.40000
-71.70890 -46.54360 62.00000
-73.85750 -46.64330 853.60000
-72.69750 -46.84110 90.40000
-72.70080 -46.84280 122.20000
-72.80330 -46.84560 144.00000
-72.48440 -47.11640 54.60000
-73.08690 -47.13780 189.70000
-72.72580 -47.14140 131.40000
-73.25000 -47.19810 127.00000
-72.56440 -47.25170 254.00000
-73.11470 -47.33920 270.10000
-73.53580 -47.79970 356.70000
-73.08890 -48.15920 385.60000
-73.45970 -48.25360 202.60000
-72.59530 -48.51690 1044.50000
-74.18310 -48.83470 569.70000
-72.73940 -48.87750 156.40000
-73.11720 -48.92720 304.00000
-74.41190 -49.11030 515.10000
-74.40690 -49.12280 546.20000
-73.11250 -50.82280 493.50000
-72.90470 -50.84140 109.40000
-72.33140 -50.89860 110.40000
-72.79250 -50.96030 159.80000
-72.71060 -51.01080 91.00000
-72.51690 -51.05080 86.30000
-72.99330 -51.07830 193.90000
-73.13000 -51.11140 138.50000
-73.28250 -51.11580 277.90000
-72.96690 -51.18420 191.00000
-73.15610 -51.25640 140.80000
-72.32720 -51.26000 88.10000
-72.82920 -51.31390 307.80000
-73.10920 -51.33280 819.00000
-73.10000 -51.41970 289.70000
-72.32970 -51.69750 105.90000
-72.47810 -51.73360 98.90000
-72.15920 -51.82330 63.50000
-71.94140 -52.03000 985.20000
-70.73330 -52.03420 66.60000
-71.42470 -52.05110 116.00000
-72.43610 -52.09110 125.60000
-69.60780 -52.16440 104.10000
-71.68060 -52.20920 544.00000
-72.47830 -52.20940 136.20000
-71.40220 -52.44140 86.90000
-69.32690 -52.54720 79.40000
-71.96030 -52.54860 103.90000
-71.97470 -52.54920 102.70000
-70.07060 -52.56640 53.50000
-71.50190 -52.60420 77.70000
-71.96310 -52.65140 75.00000
-69.27720 -52.76810 113.90000
-69.29280 -52.77640 53.20000
-71.76420 -52.84250 434.00000
-69.93190 -52.86970 92.10000
-71.57060 -52.88190 80.70000
-71.87060 -52.99640 79.10000
-71.00250 -53.09190 178.20000
-70.87720 -53.12330 111.10000
-70.93580 -53.12500 122.30000
-70.98750 -53.13810 262.10000
-71.05610 -53.13970 145.30000
-70.98310 -53.14420 149.70000
-70.98310 -53.14440 157.90000
-71.08330 -53.18420 223.00000
-71.11780 -53.23250 223.30000
-70.37000 -53.29080 62.00000
-69.26750 -53.30560 74.00000
-68.66140 -53.32170 68.00000
-71.24970 -53.40250 129.60000
-69.65060 -53.63690 87.20000
-70.96670 -53.65000 166.70000
-70.95780 -53.65140 88.90000
-69.18920 -53.75940 94.40000
-69.99890 -53.85860 223.00000
