Longitud,Latitud,Promedio
-71.95190,-37.29360,40.00000
-72.36610,-37.38060,33.00000
-72.32720,-37.45610,23.10000
-73.33690,-37.48330,40.70000
-73.33170,-37.48500,49.70000
-73.34420,-37.48780,48.60000
-72.40830,-37.50220,30.20000
-71.76560,-37.50810,65.40000
-72.31190,-37.54220,26.60000
-72.59030,-37.55030,10.30000
-72.27690,-37.59530,32.40000
-72.27830,-37.60190,20.40000
-71.71360,-37.65110,74.90000
-72.00580,-37.68500,43.80000
-71.76830,-37.70470,49.00000
-71.82360,-37.70920,45.20000
-71.90170,-37.71060,48.40000
-72.24360,-37.71470,39.30000
-72.63720,-37.77940,24.70000
-71.86640,-37.77970,60.60000
-71.69890,-37.79640,72.60000
-73.39140,-37.79830,35.00000
-73.39220,-37.81310,34.50000
-72.96060,-37.82330,42.70000
-72.21970,-37.83060,51.30000
-72.39420,-37.86360,36.70000
-71.98670,-37.88000,77.50000
-71.59610,-37.91830,92.80000
-72.43610,-37.96470,29.70000
-73.23000,-38.01860,36.70000
-73.00670,-38.02140,24.80000
-73.01670,-38.03330,32.40000
-72.46110,-38.04420,37.00000
-71.43440,-38.05830,66.60000
-72.11360,-38.10530,59.30000
-72.90390,-38.16360,29.70000
-71.29890,-38.20080,55.00000
-71.81060,-38.21560,106.30000
-72.22890,-38.24610,49.70000
-72.65360,-38.25610,33.20000
-73.49220,-38.34330,45.70000
-72.77720,-38.41330,29.70000
-72.37750,-38.42110,48.20000
-72.01060,-38.42500,61.40000
-72.01060,-38.43030,58.50000
-71.89610,-38.44750,47.30000
-71.37420,-38.45360,49.90000
-72.38670,-38.46420,52.00000
-71.57530,-38.47030,81.80000
-73.24080,-38.49420,48.60000
-72.45220,-38.51860,40.30000
-72.84780,-38.60810,24.90000
-71.09190,-38.65170,30.60000
-72.23390,-38.66720,65.30000
-72.00000,-38.68390,87.90000
-72.50280,-38.68670,36.50000
-72.55580,-38.71280,37.90000
-73.14750,-38.71280,37.50000
-72.59000,-38.74250,35.10000
-72.94690,-38.78000,25.70000
-73.39360,-38.78860,40.00000
-71.65360,-38.84440,58.60000
-71.55000,-38.85060,74.90000
-72.01250,-38.92690,69.80000
-72.20060,-38.95860,74.60000
-72.60830,-38.95920,51.10000
-72.23330,-38.98330,64.30000
-72.06670,-39.00060,81.80000
-73.08280,-39.01440,51.00000
-73.07810,-39.02780,60.40000
-72.08330,-39.03330,91.10000
-72.38330,-39.10000,53.30000
-72.65030,-39.15060,65.10000
-71.72310,-39.16670,111.60000
-71.80890,-39.20000,99.60000
-73.20030,-39.20060,74.70000
-72.29170,-39.21500,83.40000
-71.95030,-39.27530,94.20000
-71.80830,-39.33140,129.00000
-71.57440,-39.35810,95.00000
-72.64170,-39.37000,66.30000
-72.16530,-39.46810,94.20000
-72.69080,-39.47810,64.90000
-72.23390,-39.48750,89.10000
-71.54780,-39.51920,125.70000
-72.15190,-39.54690,86.00000
-72.89890,-39.55220,60.60000
-72.00530,-39.57440,121.80000
-72.74220,-39.70780,86.80000
-71.85060,-39.72720,98.10000
-72.45810,-39.77310,94.30000
-72.90250,-39.80440,80.30000
-73.25170,-39.81030,69.40000
-73.17860,-39.85610,74.00000
-71.88890,-39.87190,188.10000
-71.88970,-39.87470,168.00000
-71.72190,-40.02250,92.60000
-72.61690,-40.06720,77.90000
-72.25280,-40.15920,102.60000
-73.16890,-40.16580,61.00000
-73.43110,-40.19330,134.10000
-72.14920,-40.21720,122.70000
-72.26670,-40.25000,68.30000
-73.08330,-40.26670,32.00000
-73.43330,-40.31420,74.10000
-72.46920,-40.31720,88.50000
-73.00220,-40.38420,44.50000
-73.10690,-40.58830,48.80000
-72.18440,-40.65530,130.40000
-73.22780,-40.71360,51.00000
-72.44000,-40.72310,83.70000
-72.68390,-40.77330,81.20000
-72.68890,-40.78890,76.70000
-73.21440,-40.79560,33.60000
-73.13720,-40.93670,58.40000
-72.63280,-41.07810,88.60000
-73.06110,-41.12670,66.60000
-73.41110,-41.15330,70.20000
-72.59580,-41.41720,152.20000
-71.93860,-41.42420,111.30000
-72.57640,-41.42970,120.60000
-72.93780,-41.46000,95.70000
-73.60000,-41.61530,83.20000
-72.16940,-41.63890,136.60000
-72.31170,-41.65110,161.50000
-73.81920,-41.86250,105.60000
-73.79640,-41.87920,116.80000
-72.43500,-41.93830,222.40000
-73.97420,-42.04640,126.10000
-73.47310,-42.14080,110.60000
-73.77420,-42.47940,55.60000
-74.10810,-42.61860,125.00000
-73.77280,-42.62280,62.60000
-73.61190,-43.10860,64.10000
-72.43080,-43.17500,214.40000
-71.93060,-43.21580,121.40000
-72.36580,-43.41280,171.30000
-72.10750,-43.44920,132.10000
-72.35360,-43.46830,185.60000
-71.78390,-43.61750,70.30000
-72.95470,-43.77170,176.50000
-72.40560,-43.97080,144.60000
-72.31610,-44.04830,133.00000
-71.84610,-44.23940,93.80000
-72.55970,-44.32280,197.90000
-71.30640,-44.49750,26.30000
-72.26610,-44.66530,155.20000
-72.68140,-44.72780,129.60000
-73.51640,-45.15530,149.40000
-72.14780,-45.17330,92.50000
-71.52920,-45.26690,25.40000
-71.70920,-45.27060,30.10000
-71.98220,-45.37190,54.50000
-72.48780,-45.40360,138.50000
-72.62310,-45.40580,127.90000
-72.81780,-45.46440,157.00000
-71.60440,-45.48030,20.70000
-72.05890,-45.55110,53.40000
-72.06810,-45.55170,-699.20000
-72.02860,-45.57390,41.60000
-71.72110,-45.88530,36.40000
-72.15390,-46.12060,27.90000
-71.99080,-46.26920,27.70000
-72.66860,-46.46190,65.50000
-72.22670,-46.54250,22.30000
-71.70890,-46.54360,11.80000
-73.85750,-46.64330,256.30000
-72.69750,-46.84110,35.60000
-72.70080,-46.84280,37.80000
-72.80330,-46.84560,51.40000
-72.48440,-47.11640,14.50000
-73.08690,-47.13780,70.90000
-72.72580,-47.14140,39.10000
-73.25000,-47.19810,50.20000
-72.56440,-47.25170,38.90000
-73.11470,-47.33920,72.20000
-73.53580,-47.79970,174.90000
-73.08890,-48.15920,172.30000
-73.45970,-48.25360,37.40000
-72.59530,-48.51690,90.60000
-74.18310,-48.83470,163.70000
-72.73940,-48.87750,59.70000
-73.11720,-48.92720,22.30000
-74.41190,-49.11030,214.10000
-74.40690,-49.12280,276.30000
-73.11250,-50.82280,78.00000
-72.90470,-50.84140,44.30000
-72.33140,-50.89860,25.00000
-72.79250,-50.96030,47.90000
-72.71060,-51.01080,29.40000
-72.51690,-51.05080,20.30000
-72.99330,-51.07830,69.60000
-73.13000,-51.11140,54.80000
-73.28250,-51.11580,127.40000
-72.96690,-51.18420,51.80000
-73.15610,-51.25640,64.20000
-72.32720,-51.26000,28.10000
-72.82920,-51.31390,84.20000
-73.10920,-51.33280,156.20000
-73.10000,-51.41970,157.10000
-72.32970,-51.69750,35.60000
-72.47810,-51.73360,30.90000
-72.15920,-51.82330,30.60000
-71.94140,-52.03000,36.00000
-70.73330,-52.03420,16.60000
-71.42470,-52.05110,25.00000
-72.43610,-52.09110,59.00000
-69.60780,-52.16440,22.30000
-71.68060,-52.20920,53.10000
-72.47830,-52.20940,56.60000
-71.40220,-52.44140,23.90000
-69.32690,-52.54720,25.20000
-71.96030,-52.54860,52.70000
-71.97470,-52.54920,42.10000
-70.07060,-52.56640,23.70000
-71.50190,-52.60420,23.00000
-71.96310,-52.65140,38.40000
-69.27720,-52.76810,29.50000
-69.29280,-52.77640,21.30000
-71.76420,-52.84250,66.20000
-69.93190,-52.86970,24.70000
-71.57060,-52.88190,22.40000
-71.87060,-52.99640,39.70000
-71.00250,-53.09190,41.00000
-70.87720,-53.12330,34.50000
-70.93580,-53.12500,41.80000
-70.98750,-53.13810,57.90000
-71.05610,-53.13970,62.70000
-70.98310,-53.14420,53.20000
-70.98310,-53.14440,47.00000
-71.08330,-53.18420,-91.30000
-71.11780,-53.23250,59.10000
-70.37000,-53.29080,23.00000
-69.26750,-53.30560,19.60000
-68.66140,-53.32170,29.90000
-71.24970,-53.40250,55.40000
-69.65060,-53.63690,31.70000
-70.96670,-53.65000,33.70000
-70.95780,-53.65140,40.00000
-69.18920,-53.75940,32.30000
-69.99890,-53.85860,34.40000
-70.14080,-53.88530,33.30000
-68.88440,-53.89280,29.90000
-68.91830,-53.89670,35.10000
-70.07810,-53.99640,43.70000
-68.79970,-54.04970,37.40000
-68.95780,-54.05330,38.30000
-68.82420,-54.33780,55.90000
-68.82440,-54.50280,86.20000
-68.68250,-54.88170,31.00000
-68.32360,-54.92560,31.70000
-67.63920,-54.94690,48.50000
-67.67440,-54.97690,65.40000
-67.07580,-55.08220,55.30000
-70.33580,-18.35140,0.20000
-70.17860,-20.53970,0.00000
-70.44110,-23.45030,0.50000
-70.77420,-27.26390,0.20000
-71.20110,-29.91750,1.30000
-71.53420,-33.03670,4.30000
-70.68280,-33.44500,4.00000
-71.21670,-34.96640,10.10000
-72.04000,-36.58720,23.00000
-73.06220,-36.77920,20.10000
-72.63690,-38.77000,41.40000
-73.08080,-39.65060,60.80000
-73.06080,-40.60500,50.30000
-73.09780,-41.43500,79.90000
-72.66390,-45.39610,157.70000
-72.10860,-45.59390,52.60000
-71.69420,-45.91280,23.10000
-71.69280,-46.58080,11.30000
-72.58640,-47.24390,34.40000
-70.84500,-53.00330,24.10000
-67.61560,-54.93170,45.80000
-58.96420,-62.19970,53.00000
-68.90720,-22.49890,0.70000
-109.42700,-27.16060,64.90000
-70.79440,-33.39190,2.40000
-70.54780,-33.45440,6.20000
-78.83500,-33.63670,36.30000
-71.61420,-33.65500,4.40000
-72.42250,-37.40280,27.30000
-71.85250,-43.18890,96.80000
-71.80530,-43.61170,65.40000
-72.52890,-51.66720,35.80000
-70.32030,-53.18750,26.10000
-81.35800,13.35700,135.80000
-81.71700,12.58300,124.20000
-72.92600,11.52600,40.10000
